Month,District,population
2013-08,AucklandCity,475375.00
2013-08,Franklin,69116.67
2013-08,Manukau,382091.67
2013-08,NorthShore,299275.00
2013-08,Papakura,49600.00
2013-08,Rodney,58116.67
2013-08,Waitakere,165950.00
2013-09,AucklandCity,475900.00
2013-09,Franklin,69233.33
2013-09,Manukau,382733.33
2013-09,NorthShore,299700.00
2013-09,Papakura,49800.00
2013-09,Rodney,58233.33
2013-09,Waitakere,166200.00
2013-10,AucklandCity,476425.00
2013-10,Franklin,69350.00
2013-10,Manukau,383375.00
2013-10,NorthShore,300125.00
2013-10,Papakura,50000.00
2013-10,Rodney,58350.00
2013-10,Waitakere,166450.00
2013-11,AucklandCity,476950.00
2013-11,Franklin,69466.67
2013-11,Manukau,384016.67
2013-11,NorthShore,300550.00
2013-11,Papakura,50200.00
2013-11,Rodney,58466.67
2013-11,Waitakere,166700.00
2013-12,AucklandCity,477475.00
2013-12,Franklin,69583.33
2013-12,Manukau,384658.33
2013-12,NorthShore,300975.00
2013-12,Papakura,50400.00
2013-12,Rodney,58583.33
2013-12,Waitakere,166950.00
2014-01,AucklandCity,478000.00
2014-01,Franklin,69700.00
2014-01,Manukau,385300.00
2014-01,NorthShore,301400.00
2014-01,Papakura,50600.00
2014-01,Rodney,58700.00
2014-01,Waitakere,167200.00
2014-02,AucklandCity,478558.33
2014-02,Franklin,69825.00
2014-02,Manukau,386133.33
2014-02,NorthShore,301950.00
2014-02,Papakura,50808.33
2014-02,Rodney,58858.33
2014-02,Waitakere,167458.33
2014-03,AucklandCity,479116.67
2014-03,Franklin,69950.00
2014-03,Manukau,386966.67
2014-03,NorthShore,302500.00
2014-03,Papakura,51016.67
2014-03,Rodney,59016.67
2014-03,Waitakere,167716.67
2014-04,AucklandCity,479675.00
2014-04,Franklin,70075.00
2014-04,Manukau,387800.00
2014-04,NorthShore,303050.00
2014-04,Papakura,51225.00
2014-04,Rodney,59175.00
2014-04,Waitakere,167975.00
2014-05,AucklandCity,480233.33
2014-05,Franklin,70200.00
2014-05,Manukau,388633.33
2014-05,NorthShore,303600.00
2014-05,Papakura,51433.33
2014-05,Rodney,59333.33
2014-05,Waitakere,168233.33
2014-06,AucklandCity,480791.67
2014-06,Franklin,70325.00
2014-06,Manukau,389466.67
2014-06,NorthShore,304150.00
2014-06,Papakura,51641.67
2014-06,Rodney,59491.67
2014-06,Waitakere,168491.67
2014-07,AucklandCity,481350.00
2014-07,Franklin,70450.00
2014-07,Manukau,390300.00
2014-07,NorthShore,304700.00
2014-07,Papakura,51850.00
2014-07,Rodney,59650.00
2014-07,Waitakere,168750.00
2014-08,AucklandCity,481908.33
2014-08,Franklin,70575.00
2014-08,Manukau,391133.33
2014-08,NorthShore,305250.00
2014-08,Papakura,52058.33
2014-08,Rodney,59808.33
2014-08,Waitakere,169008.33
2014-09,AucklandCity,482466.67
2014-09,Franklin,70700.00
2014-09,Manukau,391966.67
2014-09,NorthShore,305800.00
2014-09,Papakura,52266.67
2014-09,Rodney,59966.67
2014-09,Waitakere,169266.67
2014-10,AucklandCity,483025.00
2014-10,Franklin,70825.00
2014-10,Manukau,392800.00
2014-10,NorthShore,306350.00
2014-10,Papakura,52475.00
2014-10,Rodney,60125.00
2014-10,Waitakere,169525.00
2014-11,AucklandCity,483583.33
2014-11,Franklin,70950.00
2014-11,Manukau,393633.33
2014-11,NorthShore,306900.00
2014-11,Papakura,52683.33
2014-11,Rodney,60283.33
2014-11,Waitakere,169783.33
2014-12,AucklandCity,484141.67
2014-12,Franklin,71075.00
2014-12,Manukau,394466.67
2014-12,NorthShore,307450.00
2014-12,Papakura,52891.67
2014-12,Rodney,60441.67
2014-12,Waitakere,170041.67
2015-01,AucklandCity,484700.00
2015-01,Franklin,71200.00
2015-01,Manukau,395300.00
2015-01,NorthShore,308000.00
2015-01,Papakura,53100.00
2015-01,Rodney,60600.00
2015-01,Waitakere,170300.00
2015-02,AucklandCity,485416.67
2015-02,Franklin,71358.33
2015-02,Manukau,396200.00
2015-02,NorthShore,308591.67
2015-02,Papakura,53325.00
2015-02,Rodney,60816.67
2015-02,Waitakere,170550.00
2015-03,AucklandCity,486133.33
2015-03,Franklin,71516.67
2015-03,Manukau,397100.00
2015-03,NorthShore,309183.33
2015-03,Papakura,53550.00
