Month,District,Scenario,feature,shap_value
2026-06-01,Rodney,base,f_1,0.0006153954593535132
2026-06-01,Waitakere,base,f_1,0.00034407429558530746
2025-07-01,AucklandCity,high,f_1,0.0004495367382462988
2025-07-01,Franklin,high,f_1,-0.0023680201946957745
2025-07-01,Manukau,high,f_1,0.00041010454499350584
2025-07-01,NorthShore,high,f_1,0.0004517314722574385
2025-07-01,Papakura,high,f_1,6.035038431806977e-05
2025-07-01,Rodney,high,f_1,0.0004459706491298914
2025-07-01,Waitakere,high,f_1,0.0003529050628927067
2025-08-01,AucklandCity,high,f_1,0.0005240607042238313
2025-08-01,Franklin,high,f_1,-0.0023840758928264922
2025-08-01,Manukau,high,f_1,0.0004681455051238979
2025-08-01,NorthShore,high,f_1,0.0005195641545584724
2025-08-01,Papakura,high,f_1,1.4581923352235791e-05
2025-08-01,Rodney,high,f_1,0.0005281817734538152
2025-08-01,Waitakere,high,f_1,0.00043719651944592436
2025-09-01,AucklandCity,high,f_1,0.0005205225604160453
2025-09-01,Franklin,high,f_1,-0.0024288904355454226
2025-09-01,Manukau,high,f_1,0.0004742361506289058
2025-09-01,NorthShore,high,f_1,0.0005144686270327291
2025-09-01,Papakura,high,f_1,-7.813618212813964e-07
2025-09-01,Rodney,high,f_1,0.000521949175919523
2025-09-01,Waitakere,high,f_1,0.00046067376752261945
2025-10-01,AucklandCity,high,f_1,0.0004603386073952876
2025-10-01,Franklin,high,f_1,-0.001835891003814771
2025-10-01,Manukau,high,f_1,0.00040964846415883634
2025-10-01,NorthShore,high,f_1,0.0005039143265134524
2025-10-01,Papakura,high,f_1,-0.000252979685301109
2025-10-01,Rodney,high,f_1,0.0006177962548437621
2025-10-01,Waitakere,high,f_1,0.00046699766334522134
2025-11-01,AucklandCity,high,f_1,0.0004660379131227148
2025-11-01,Franklin,high,f_1,-0.0018590088405740098
2025-11-01,Manukau,high,f_1,0.0004178364046028923
2025-11-01,NorthShore,high,f_1,0.0005065174226276067
2025-11-01,Papakura,high,f_1,-0.0002661549750266566
2025-11-01,Rodney,high,f_1,0.0006119221295087459
2025-11-01,Waitakere,high,f_1,0.000486610940992301
2025-12-01,AucklandCity,high,f_1,0.0004627981947050297
2025-12-01,Franklin,high,f_1,-0.0019197656009134478
2025-12-01,Manukau,high,f_1,0.00041335172080583327
2025-12-01,NorthShore,high,f_1,0.0005046436571741306
2025-12-01,Papakura,high,f_1,-0.00022984669143865
2025-12-01,Rodney,high,f_1,0.0006170396452128948
2025-12-01,Waitakere,high,f_1,0.0004622020589457081
2026-01-01,AucklandCity,high,f_1,0.0004402723962471628
2026-01-01,Franklin,high,f_1,-0.0016165800730175352
2026-01-01,Manukau,high,f_1,0.0003859719638718036
2026-01-01,NorthShore,high,f_1,0.0005003883396101694
2026-01-01,Papakura,high,f_1,-0.0004854665793709047
2026-01-01,Rodney,high,f_1,0.0006987462125977173
2026-01-01,Waitakere,high,f_1,0.0004707450873487094
