Month,District,Net_migration_monthly
2022-11,Manukau,-336.67
2022-11,NorthShore,640.0
2022-11,Papakura,133.33
2022-11,Rodney,125.0
2022-11,Waitakere,-170.83
2022-12,AucklandCity,-1308.33
2022-12,Franklin,40.0
2022-12,Manukau,-336.67
2022-12,NorthShore,640.0
2022-12,Papakura,133.33
2022-12,Rodney,125.0
2022-12,Waitakere,-170.83
2023-01,AucklandCity,790.83
2023-01,Franklin,125.0
2023-01,Manukau,983.33
2023-01,NorthShore,640.0
2023-01,Papakura,208.33
2023-01,Rodney,158.33
2023-01,Waitakere,145.83
2023-02,AucklandCity,790.83
2023-02,Franklin,125.0
2023-02,Manukau,983.33
2023-02,NorthShore,640.0
2023-02,Papakura,208.33
2023-02,Rodney,158.33
2023-02,Waitakere,145.83
2023-03,AucklandCity,790.83
2023-03,Franklin,125.0
2023-03,Manukau,983.33
2023-03,NorthShore,640.0
2023-03,Papakura,208.33
2023-03,Rodney,158.33
2023-03,Waitakere,145.83
2023-04,AucklandCity,790.83
2023-04,Franklin,125.0
2023-04,Manukau,983.33
2023-04,NorthShore,640.0
2023-04,Papakura,208.33
2023-04,Rodney,158.33
2023-04,Waitakere,145.83
2023-05,AucklandCity,790.83
2023-05,Franklin,125.0
2023-05,Manukau,983.33
2023-05,NorthShore,640.0
2023-05,Papakura,208.33
2023-05,Rodney,158.33
2023-05,Waitakere,145.83
2023-06,AucklandCity,790.83
2023-06,Franklin,125.0
2023-06,Manukau,983.33
2023-06,NorthShore,640.0
2023-06,Papakura,208.33
2023-06,Rodney,158.33
2023-06,Waitakere,145.83
2023-07,AucklandCity,790.83
2023-07,Franklin,125.0
2023-07,Manukau,983.33
2023-07,NorthShore,640.0
2023-07,Papakura,208.33
2023-07,Rodney,158.33
2023-07,Waitakere,145.83
2023-08,AucklandCity,790.83
2023-08,Franklin,125.0
2023-08,Manukau,983.33
2023-08,NorthShore,640.0
2023-08,Papakura,208.33
2023-08,Rodney,158.33
2023-08,Waitakere,145.83
2023-09,AucklandCity,790.83
2023-09,Franklin,125.0
2023-09,Manukau,983.33
2023-09,NorthShore,640.0
2023-09,Papakura,208.33
2023-09,Rodney,158.33
2023-09,Waitakere,145.83
2023-10,AucklandCity,790.83
2023-10,Franklin,125.0
2023-10,Manukau,983.33
2023-10,NorthShore,640.0
2023-10,Papakura,208.33
2023-10,Rodney,158.33
2023-10,Waitakere,145.83
2023-11,AucklandCity,790.83
2023-11,Franklin,125.0
2023-11,Manukau,983.33
2023-11,NorthShore,640.0
2023-11,Papakura,208.33
2023-11,Rodney,158.33
2023-11,Waitakere,145.83
2023-12,AucklandCity,790.83
2023-12,Franklin,125.0
2023-12,Manukau,983.33
2023-12,NorthShore,640.0
2023-12,Papakura,208.33
2023-12,Rodney,158.33
2023-12,Waitakere,145.83
2024-01,AucklandCity,728.33
2024-01,Franklin,75.83
2024-01,Manukau,833.33
2024-01,NorthShore,97.5
2024-01,Papakura,225.0
2024-01,Rodney,133.33
2024-01,Waitakere,260.0
2024-02,AucklandCity,728.33
2024-02,Franklin,75.83
2024-02,Manukau,833.33
2024-02,NorthShore,97.5
2024-02,Papakura,225.0
2024-02,Rodney,133.33
2024-02,Waitakere,260.0
2024-03,AucklandCity,728.33
2024-03,Franklin,75.83
2024-03,Manukau,833.33
2024-03,NorthShore,97.5
2024-03,Papakura,225.0
2024-03,Rodney,133.33
2024-03,Waitakere,260.0
2024-04,AucklandCity,728.33
2024-04,Franklin,75.83
2024-04,Manukau,833.33
2024-04,NorthShore,97.5
2024-04,Papakura,225.0
2024-04,Rodney,133.33
2024-04,Waitakere,260.0
2024-05,AucklandCity,728.33
2024-05,Franklin,75.83
2024-05,Manukau,833.33
2024-05,NorthShore,97.5
2024-05,Papakura,225.0
2024-05,Rodney,133.33
2024-05,Waitakere,260.0
2024-06,AucklandCity,728.33
2024-06,Franklin,75.83
2024-06,Manukau,833.33
2024-06,NorthShore,97.5
2024-06,Papakura,225.0
2024-06,Rodney,133.33
2024-06,Waitakere,260.0
2024-07,AucklandCity,728.33
2024-07,Franklin,75.83
2024-07,Manukau,833.33
2024-07,NorthShore,97.5
2024-07,Papakura,225.0
2024-07,Rodney,133.33
2024-07,Waitakere,260.0
2024-08,AucklandCity,728.33
2024-08,Franklin,75.83
2024-08,Manukau,833.33
2024-08,NorthShore,97.5
2024-08,Papakura,225.0
2024-08,Rodney,133.33
2024-08,Waitakere,260.0
2024-09,AucklandCity,728.33
2024-09,Franklin,75.83
2024-09,Manukau,833.33
2024-09,NorthShore,97.5
2024-09,Papakura,225.0
2024-09,Rodney,133.33
2024-09,Waitakere,260.0
2024-10,AucklandCity,728.33
2024-10,Franklin,75.83
2024-10,Manukau,833.33
2024-10,NorthShore,97.5
2024-10,Papakura,225.0
2024-10,Rodney,133.33
2024-10,Waitakere,260.0
2024-11,AucklandCity,728.33
2024-11,Franklin,75.83
2024-11,Manukau,833.33
2024-11,NorthShore,97.5
2024-11,Papakura,225.0
2024-11,Rodney,133.33
2024-11,Waitakere,260.0
2024-12,AucklandCity,728.33
2024-12,Franklin,75.83
2024-12,Manukau,833.33
2024-12,NorthShore,97.5
2024-12,Papakura,225.0
2024-12,Rodney,133.33
2024-12,Waitakere,260.0
2025-01,AucklandCity,37.5
2025-01,Franklin,16.67
2025-01,Manukau,182.5
2025-01,NorthShore,97.5
2025-01,Papakura,76.67
2025-01,Rodney,35.83
2025-01,Waitakere,80.0
2025-02,AucklandCity,37.5
2025-02,Franklin,16.67
2025-02,Manukau,182.5
2025-02,NorthShore,97.5
2025-02,Papakura,76.67
2025-02,Rodney,35.83
2025-02,Waitakere,80.0
2025-03,AucklandCity,37.5
2025-03,Franklin,16.67
2025-03,Manukau,182.5
2025-03,NorthShore,97.5
2025-03,Papakura,76.67
2025-03,Rodney,35.83
2025-03,Waitakere,80.0
2025-04,AucklandCity,37.5
2025-04,Franklin,16.67
2025-04,Manukau,182.5
2025-04,NorthShore,97.5
2025-04,Papakura,76.67
2025-04,Rodney,35.83
2025-04,Waitakere,80.0
2025-05,AucklandCity,37.5
2025-05,Franklin,16.67
2025-05,Manukau,182.5
2025-05,NorthShore,97.5
2025-05,Papakura,76.67
2025-05,Rodney,35.83
2025-05,Waitakere,80.0
2025-06,AucklandCity,37.5
2025-06,Franklin,16.67
2025-06,Manukau,182.5
2025-06,NorthShore,97.5
2025-06,Papakura,76.67
2025-06,Rodney,35.83
2025-06,Waitakere,80.0
2025-07,AucklandCity,37.5
2025-07,Franklin,16.67
2025-07,Manukau,182.5
2025-07,NorthShore,97.5
2025-07,Papakura,76.67
2025-07,Rodney,35.83
2025-07,Waitakere,80.0
2025-08,AucklandCity,37.5
2025-08,Franklin,16.67
2025-08,Manukau,182.5
2025-08,NorthShore,97.5
2025-08,Papakura,76.67
2025-08,Rodney,35.83
2025-08,Waitakere,80.0
2025-09,AucklandCity,37.5
2025-09,Franklin,16.67
2025-09,Manukau,182.5
2025-09,NorthShore,97.5
2025-09,Papakura,76.67
2025-09,Rodney,35.83
2025-09,Waitakere,80.0
2025-10,AucklandCity,37.5
2025-10,Franklin,16.67
2025-10,Manukau,182.5
2025-10,NorthShore,97.5
2025-10,Papakura,76.67
2025-10,Rodney,35.83
2025-10,Waitakere,80.0
2025-11,AucklandCity,37.5
2025-11,Franklin,16.67
2025-11,Manukau,182.5
2025-11,NorthShore,97.5
2025-11,Papakura,76.67
2025-11,Rodney,35.83
2025-11,Waitakere,80.0
2025-12,AucklandCity,37.5
2025-12,Franklin,16.67
2025-12,Manukau,182.5
2025-12,NorthShore,97.5
2025-12,Papakura,76.67
2025-12,Rodney,35.83
2025-12,Waitakere,80.0
