Month,District,unemployment_rate
2022-01,NorthShore,3.77
2022-01,Papakura,3.77
2022-01,Rodney,3.77
2022-01,Waitakere,3.77
2022-02,AucklandCity,3.63
2022-02,Franklin,3.63
2022-02,Manukau,3.63
2022-02,NorthShore,3.63
2022-02,Papakura,3.63
2022-02,Rodney,3.63
2022-02,Waitakere,3.63
2022-03,AucklandCity,3.5
2022-03,Franklin,3.5
2022-03,Manukau,3.5
2022-03,NorthShore,3.5
2022-03,Papakura,3.5
2022-03,Rodney,3.5
2022-03,Waitakere,3.5
2022-04,AucklandCity,3.43
2022-04,Franklin,3.43
2022-04,Manukau,3.43
2022-04,NorthShore,3.43
2022-04,Papakura,3.43
2022-04,Rodney,3.43
2022-04,Waitakere,3.43
2022-05,AucklandCity,3.37
2022-05,Franklin,3.37
2022-05,Manukau,3.37
2022-05,NorthShore,3.37
2022-05,Papakura,3.37
2022-05,Rodney,3.37
2022-05,Waitakere,3.37
2022-06,AucklandCity,3.3
2022-06,Franklin,3.3
2022-06,Manukau,3.3
2022-06,NorthShore,3.3
2022-06,Papakura,3.3
2022-06,Rodney,3.3
2022-06,Waitakere,3.3
2022-07,AucklandCity,3.3
2022-07,Franklin,3.3
2022-07,Manukau,3.3
2022-07,NorthShore,3.3
2022-07,Papakura,3.3
2022-07,Rodney,3.3
2022-07,Waitakere,3.3
2022-08,AucklandCity,3.3
2022-08,Franklin,3.3
2022-08,Manukau,3.3
2022-08,NorthShore,3.3
2022-08,Papakura,3.3
2022-08,Rodney,3.3
2022-08,Waitakere,3.3
2022-09,AucklandCity,3.3
2022-09,Franklin,3.3
2022-09,Manukau,3.3
2022-09,NorthShore,3.3
2022-09,Papakura,3.3
2022-09,Rodney,3.3
2022-09,Waitakere,3.3
2022-10,AucklandCity,3.37
2022-10,Franklin,3.37
2022-10,Manukau,3.37
2022-10,NorthShore,3.37
2022-10,Papakura,3.37
2022-10,Rodney,3.37
2022-10,Waitakere,3.37
2022-11,AucklandCity,3.43
2022-11,Franklin,3.43
2022-11,Manukau,3.43
2022-11,NorthShore,3.43
2022-11,Papakura,3.43
2022-11,Rodney,3.43
2022-11,Waitakere,3.43
2022-12,AucklandCity,3.5
2022-12,Franklin,3.5
2022-12,Manukau,3.5
2022-12,NorthShore,3.5
2022-12,Papakura,3.5
2022-12,Rodney,3.5
2022-12,Waitakere,3.5
2023-01,AucklandCity,3.47
2023-01,Franklin,3.47
2023-01,Manukau,3.47
2023-01,NorthShore,3.47
2023-01,Papakura,3.47
2023-01,Rodney,3.47
2023-01,Waitakere,3.47
2023-02,AucklandCity,3.43
2023-02,Franklin,3.43
2023-02,Manukau,3.43
2023-02,NorthShore,3.43
2023-02,Papakura,3.43
2023-02,Rodney,3.43
2023-02,Waitakere,3.43
2023-03,AucklandCity,3.4
2023-03,Franklin,3.4
2023-03,Manukau,3.4
2023-03,NorthShore,3.4
2023-03,Papakura,3.4
2023-03,Rodney,3.4
2023-03,Waitakere,3.4
2023-04,AucklandCity,3.43
2023-04,Franklin,3.43
2023-04,Manukau,3.43
2023-04,NorthShore,3.43
2023-04,Papakura,3.43
2023-04,Rodney,3.43
2023-04,Waitakere,3.43
2023-05,AucklandCity,3.47
2023-05,Franklin,3.47
2023-05,Manukau,3.47
2023-05,NorthShore,3.47
2023-05,Papakura,3.47
2023-05,Rodney,3.47
2023-05,Waitakere,3.47
2023-06,AucklandCity,3.5
2023-06,Franklin,3.5
2023-06,Manukau,3.5
2023-06,NorthShore,3.5
2023-06,Papakura,3.5
2023-06,Rodney,3.5
2023-06,Waitakere,3.5
2023-07,AucklandCity,3.53
2023-07,Franklin,3.53
2023-07,Manukau,3.53
2023-07,NorthShore,3.53
2023-07,Papakura,3.53
2023-07,Rodney,3.53
2023-07,Waitakere,3.53
2023-08,AucklandCity,3.57
2023-08,Franklin,3.57
2023-08,Manukau,3.57
2023-08,NorthShore,3.57
2023-08,Papakura,3.57
2023-08,Rodney,3.57
2023-08,Waitakere,3.57
2023-09,AucklandCity,3.6
2023-09,Franklin,3.6
2023-09,Manukau,3.6
2023-09,NorthShore,3.6
2023-09,Papakura,3.6
2023-09,Rodney,3.6
2023-09,Waitakere,3.6
2023-10,AucklandCity,3.67
2023-10,Franklin,3.67
2023-10,Manukau,3.67
2023-10,NorthShore,3.67
2023-10,Papakura,3.67
2023-10,Rodney,3.67
2023-10,Waitakere,3.67
2023-11,AucklandCity,3.73
2023-11,Franklin,3.73
2023-11,Manukau,3.73
2023-11,NorthShore,3.73
2023-11,Papakura,3.73
2023-11,Rodney,3.73
2023-11,Waitakere,3.73
2023-12,AucklandCity,3.8
2023-12,Franklin,3.8
2023-12,Manukau,3.8
2023-12,NorthShore,3.8
2023-12,Papakura,3.8
2023-12,Rodney,3.8
2023-12,Waitakere,3.8
2024-01,AucklandCity,3.93
2024-01,Franklin,3.93
2024-01,Manukau,3.93
2024-01,NorthShore,3.93
2024-01,Papakura,3.93
2024-01,Rodney,3.93
2024-01,Waitakere,3.93
2024-02,AucklandCity,4.07
2024-02,Franklin,4.07
2024-02,Manukau,4.07
2024-02,NorthShore,4.07
2024-02,Papakura,4.07
2024-02,Rodney,4.07
2024-02,Waitakere,4.07
2024-03,AucklandCity,4.2
2024-03,Franklin,4.2
2024-03,Manukau,4.2
2024-03,NorthShore,4.2
2024-03,Papakura,4.2
2024-03,Rodney,4.2
2024-03,Waitakere,4.2
2024-04,AucklandCity,4.27
2024-04,Franklin,4.27
2024-04,Manukau,4.27
2024-04,NorthShore,4.27
2024-04,Papakura,4.27
2024-04,Rodney,4.27
2024-04,Waitakere,4.27
2024-05,AucklandCity,4.33
2024-05,Franklin,4.33
2024-05,Manukau,4.33
2024-05,NorthShore,4.33
2024-05,Papakura,4.33
2024-05,Rodney,4.33
2024-05,Waitakere,4.33
2024-06,AucklandCity,4.4
2024-06,Franklin,4.4
2024-06,Manukau,4.4
2024-06,NorthShore,4.4
2024-06,Papakura,4.4
2024-06,Rodney,4.4
2024-06,Waitakere,4.4
2024-07,AucklandCity,4.5
2024-07,Franklin,4.5
2024-07,Manukau,4.5
2024-07,NorthShore,4.5
2024-07,Papakura,4.5
2024-07,Rodney,4.5
2024-07,Waitakere,4.5
2024-08,AucklandCity,4.6
2024-08,Franklin,4.6
2024-08,Manukau,4.6
2024-08,NorthShore,4.6
2024-08,Papakura,4.6
2024-08,Rodney,4.6
2024-08,Waitakere,4.6
2024-09,AucklandCity,4.7
2024-09,Franklin,4.7
2024-09,Manukau,4.7
2024-09,NorthShore,4.7
2024-09,Papakura,4.7
2024-09,Rodney,4.7
2024-09,Waitakere,4.7
2024-10,AucklandCity,4.8
2024-10,Franklin,4.8
2024-10,Manukau,4.8
2024-10,NorthShore,4.8
2024-10,Papakura,4.8
2024-10,Rodney,4.8
2024-10,Waitakere,4.8
2024-11,AucklandCity,4.9
2024-11,Franklin,4.9
2024-11,Manukau,4.9
2024-11,NorthShore,4.9
2024-11,Papakura,4.9
2024-11,Rodney,4.9
2024-11,Waitakere,4.9
2024-12,AucklandCity,5.0
2024-12,Franklin,5.0
2024-12,Manukau,5.0
2024-12,NorthShore,5.0
2024-12,Papakura,5.0
2024-12,Rodney,5.0
2024-12,Waitakere,5.0
2025-01,AucklandCity,5.13
2025-01,Franklin,5.13
2025-01,Manukau,5.13
2025-01,NorthShore,5.13
2025-01,Papakura,5.13
2025-01,Rodney,5.13
2025-01,Waitakere,5.13
2025-02,AucklandCity,5.27
2025-02,Franklin,5.27
2025-02,Manukau,5.27
2025-02,NorthShore,5.27
2025-02,Papakura,5.27
2025-02,Rodney,5.27
2025-02,Waitakere,5.27
2025-03,AucklandCity,5.4
2025-03,Franklin,5.4
2025-03,Manukau,5.4
2025-03,NorthShore,5.4
2025-03,Papakura,5.4
2025-03,Rodney,5.4
2025-03,Waitakere,5.4
2025-04,AucklandCity,5.53
2025-04,Franklin,5.53
2025-04,Manukau,5.53
2025-04,NorthShore,5.53
2025-04,Papakura,5.53
2025-04,Rodney,5.53
2025-04,Waitakere,5.53
2025-05,AucklandCity,5.67
2025-05,Franklin,5.67
2025-05,Manukau,5.67
2025-05,NorthShore,5.67
2025-05,Papakura,5.67
2025-05,Rodney,5.67
2025-05,Waitakere,5.67
2025-06,AucklandCity,5.8
2025-06,Franklin,5.8
2025-06,Manukau,5.8
2025-06,NorthShore,5.8
2025-06,Papakura,5.8
2025-06,Rodney,5.8
2025-06,Waitakere,5.8
