Month,District,Consents
2025-02,Rodney,61.0
2025-02,Waitakere,115.0
2025-03,AucklandCity,506.0
2025-03,Franklin,134.0
2025-03,Manukau,336.0
2025-03,NorthShore,305.0
2025-03,Papakura,63.0
2025-03,Rodney,75.0
2025-03,Waitakere,112.0
2025-04,AucklandCity,255.0
2025-04,Franklin,77.0
2025-04,Manukau,284.0
2025-04,NorthShore,167.0
2025-04,Papakura,58.0
2025-04,Rodney,42.0
2025-04,Waitakere,92.0
2025-05,AucklandCity,351.0
2025-05,Franklin,122.0
2025-05,Manukau,220.0
2025-05,NorthShore,286.0
2025-05,Papakura,88.0
2025-05,Rodney,63.0
2025-05,Waitakere,257.0
2025-06,AucklandCity,255.0
2025-06,Franklin,112.0
2025-06,Manukau,251.0
2025-06,NorthShore,223.0
2025-06,Papakura,70.0
2025-06,Rodney,51.0
2025-06,Waitakere,212.0
2025-07,AucklandCity,321.0
2025-07,Franklin,101.0
2025-07,Manukau,303.0
2025-07,NorthShore,259.0
2025-07,Papakura,79.0
2025-07,Rodney,68.0
2025-07,Waitakere,203.0
2025-08,AucklandCity,487.0
2025-08,Franklin,74.0
2025-08,Manukau,300.0
2025-08,NorthShore,218.0
2025-08,Papakura,80.0
2025-08,Rodney,107.0
2025-08,Waitakere,104.0
2025-09,AucklandCity,492.0
2025-09,Franklin,122.0
2025-09,Manukau,447.0
2025-09,NorthShore,241.0
2025-09,Papakura,112.0
2025-09,Rodney,151.0
2025-09,Waitakere,60.0
