Month,District,weeklyrent
2010-04,Rodney,336.0
2010-04,Waitakere,337.0
2010-05,AucklandCity,373.0
2010-05,Franklin,326.0
2010-05,Manukau,341.5
2010-05,NorthShore,389.25
2010-05,Papakura,320.0
2010-05,Rodney,336.0
2010-05,Waitakere,337.0
2010-06,AucklandCity,373.0
2010-06,Franklin,326.0
2010-06,Manukau,341.5
2010-06,NorthShore,389.25
2010-06,Papakura,320.0
2010-06,Rodney,336.0
2010-06,Waitakere,337.0
2010-07,AucklandCity,373.0
2010-07,Franklin,326.0
2010-07,Manukau,341.5
2010-07,NorthShore,389.25
2010-07,Papakura,320.0
2010-07,Rodney,336.0
2010-07,Waitakere,337.0
2010-08,AucklandCity,373.0
2010-08,Franklin,326.0
2010-08,Manukau,341.5
2010-08,NorthShore,389.25
2010-08,Papakura,320.0
2010-08,Rodney,336.0
2010-08,Waitakere,337.0
2010-09,AucklandCity,373.0
2010-09,Franklin,326.0
2010-09,Manukau,341.5
2010-09,NorthShore,389.25
2010-09,Papakura,320.0
2010-09,Rodney,336.0
2010-09,Waitakere,337.0
2010-10,AucklandCity,373.0
2010-10,Franklin,326.0
2010-10,Manukau,341.5
2010-10,NorthShore,389.25
2010-10,Papakura,320.0
2010-10,Rodney,336.0
2010-10,Waitakere,337.0
2010-11,AucklandCity,373.0
2010-11,Franklin,326.0
2010-11,Manukau,341.5
2010-11,NorthShore,389.25
2010-11,Papakura,320.0
2010-11,Rodney,336.0
2010-11,Waitakere,337.0
2010-12,AucklandCity,373.0
2010-12,Franklin,326.0
2010-12,Manukau,341.5
2010-12,NorthShore,389.25
2010-12,Papakura,320.0
2010-12,Rodney,336.0
2010-12,Waitakere,337.0
2011-01,AucklandCity,391.5
2011-01,Franklin,339.0
2011-01,Manukau,354.0
2011-01,NorthShore,407.0
2011-01,Papakura,335.0
2011-01,Rodney,348.0
2011-01,Waitakere,355.5
2011-02,AucklandCity,391.5
2011-02,Franklin,339.0
2011-02,Manukau,354.0
2011-02,NorthShore,407.0
2011-02,Papakura,335.0
2011-02,Rodney,348.0
2011-02,Waitakere,355.5
2011-03,AucklandCity,391.5
2011-03,Franklin,339.0
2011-03,Manukau,354.0
2011-03,NorthShore,407.0
2011-03,Papakura,335.0
2011-03,Rodney,348.0
2011-03,Waitakere,355.5
2011-04,AucklandCity,391.5
2011-04,Franklin,339.0
2011-04,Manukau,354.0
2011-04,NorthShore,407.0
2011-04,Papakura,335.0
2011-04,Rodney,348.0
2011-04,Waitakere,355.5
2011-05,AucklandCity,391.5
2011-05,Franklin,339.0
2011-05,Manukau,354.0
2011-05,NorthShore,407.0
2011-05,Papakura,335.0
