Month,District,Median_Price
2025-05,NorthShore,1170000
2025-05,Papakura,817500
2025-05,Rodney,1100000
2025-05,Waitakere,870000
2025-06,AucklandCity,1200000
2025-06,Franklin,850000
2025-06,Manukau,908000
2025-06,NorthShore,1195000
2025-06,Papakura,725000
2025-06,Rodney,1130000
2025-06,Waitakere,881700
2025-07,AucklandCity,1100000
2025-07,Franklin,850000
2025-07,Manukau,900000
2025-07,NorthShore,1150000
2025-07,Papakura,800000
2025-07,Rodney,1068800
2025-07,Waitakere,855000
2025-08,AucklandCity,1070000
2025-08,Franklin,807500
2025-08,Manukau,915000
2025-08,NorthShore,1175000
2025-08,Papakura,755000
2025-08,Rodney,1095000
2025-08,Waitakere,835000
2025-09,AucklandCity,1110000
2025-09,Franklin,860000
2025-09,Manukau,915000
2025-09,NorthShore,1176000
2025-09,Papakura,730000
2025-09,Rodney,1100000
2025-09,Waitakere,850000
