Month,District,OCR,CGPI_Dwelling,Net_migration_monthly,weeklyrent,unemployment_rate,RealMortgageRate,log_Median_Price,log_sales_count,log_Consents
2020-03,Waitakere,0.25,781.03,135.0,517.5,4.3,2.4074,13.64709190633931,6.013715156042802,4.61512051684126
2020-04,AucklandCity,0.25,782.48,383.33,567.5,4.3,2.7365,13.883169206438088,5.147494476813453,5.017279836814924
2020-04,Franklin,0.25,782.48,133.33,511.0,4.3,2.7365,13.418757390458131,3.091042453358316,4.248495242049359
2020-04,Manukau,0.25,782.48,465.83,505.5,4.3,2.7365,13.64709190633931,4.5217885770490405,5.10594547390058
2020-04,NorthShore,0.25,782.48,301.67,585.5,4.3,2.7365,13.918067146289367,4.624972813284271,5.123963979403259
2020-04,Papakura,0.25,782.48,216.67,518.0,4.3,2.7365,13.507625778194974,2.995732273553991,4.890349128221754
2020-04,Rodney,0.25,782.48,233.33,542.0,4.3,2.7365,13.676248490630767,3.9512437185814275,4.672828834461906
2020-04,Waitakere,0.25,782.48,135.0,517.5,4.3,2.7365,13.681979165339751,4.356708826689592,4.499809670330265
2020-05,AucklandCity,0.25,783.13,383.33,567.5,4.3,2.4698,13.87141818990257,5.945420608606575,6.246106765481563
2020-05,Franklin,0.25,783.13,133.33,511.0,4.3,2.4698,13.458835614025542,3.871201010907891,4.442651256490317
2020-05,Manukau,0.25,783.13,465.83,505.5,4.3,2.4698,13.676248490630767,5.337538079701318,5.318119993844216
2020-05,NorthShore,0.25,783.13,301.67,585.5,4.3,2.4698,13.815510557964274,5.062595033026967,5.278114659230517
2020-05,Papakura,0.25,783.13,216.67,518.0,4.3,2.4698,13.458835614025542,3.8918202981106265,4.795790545596741
2020-05,Rodney,0.25,783.13,233.33,542.0,4.3,2.4698,13.693342923990066,4.74493212836325,4.499809670330265
2020-05,Waitakere,0.25,783.13,135.0,517.5,4.3,2.4698,13.62918097977278,5.356586274672012,5.0369526024136295
2020-06,AucklandCity,0.25,783.78,383.33,567.5,4.3,2.2931,13.953096220916837,6.51025834052315,5.616771097666572
2020-06,Franklin,0.25,783.78,133.33,511.0,4.3,2.2931,13.521139497361697,4.564348191467836,4.6913478822291435
2020-06,Manukau,0.25,783.78,465.83,505.5,4.3,2.2931,13.698976741708323,5.840641657373398,5.659482215759621
2020-06,NorthShore,0.25,783.78,301.67,585.5,4.3,2.2931,13.87377946608825,5.749392985908253,5.934894195619588
2020-06,Papakura,0.25,783.78,216.67,518.0,4.3,2.2931,13.390862630439337,4.564348191467836,4.709530201312334
2020-06,Rodney,0.25,783.78,233.33,542.0,4.3,2.2931,13.713477832399123,5.170483995038151,4.418840607796598
2020-06,Waitakere,0.25,783.78,135.0,517.5,4.3,2.2931,13.610943392223,5.87493073085203,5.25227342804663
