Month,District,2YearFixedRate
2011-12,Waitakere,5.94
2012-01,AucklandCity,5.86
2012-01,Franklin,5.86
2012-01,Manukau,5.86
2012-01,NorthShore,5.86
2012-01,Papakura,5.86
2012-01,Rodney,5.86
2012-01,Waitakere,5.86
2012-02,AucklandCity,5.82
2012-02,Franklin,5.82
2012-02,Manukau,5.82
2012-02,NorthShore,5.82
2012-02,Papakura,5.82
2012-02,Rodney,5.82
2012-02,Waitakere,5.82
2012-03,AucklandCity,5.81
2012-03,Franklin,5.81
2012-03,Manukau,5.81
2012-03,NorthShore,5.81
2012-03,Papakura,5.81
2012-03,Rodney,5.81
2012-03,Waitakere,5.81
2012-04,AucklandCity,5.81
2012-04,Franklin,5.81
2012-04,Manukau,5.81
2012-04,NorthShore,5.81
2012-04,Papakura,5.81
2012-04,Rodney,5.81
2012-04,Waitakere,5.81
2012-05,AucklandCity,5.56
2012-05,Franklin,5.56
2012-05,Manukau,5.56
2012-05,NorthShore,5.56
2012-05,Papakura,5.56
2012-05,Rodney,5.56
2012-05,Waitakere,5.56
2012-06,AucklandCity,5.55
2012-06,Franklin,5.55
2012-06,Manukau,5.55
2012-06,NorthShore,5.55
2012-06,Papakura,5.55
2012-06,Rodney,5.55
2012-06,Waitakere,5.55
2012-07,AucklandCity,5.56
2012-07,Franklin,5.56
2012-07,Manukau,5.56
2012-07,NorthShore,5.56
2012-07,Papakura,5.56
2012-07,Rodney,5.56
2012-07,Waitakere,5.56
2012-08,AucklandCity,5.54
2012-08,Franklin,5.54
2012-08,Manukau,5.54
2012-08,NorthShore,5.54
2012-08,Papakura,5.54
2012-08,Rodney,5.54
2012-08,Waitakere,5.54
2012-09,AucklandCity,5.47
2012-09,Franklin,5.47
2012-09,Manukau,5.47
2012-09,NorthShore,5.47
2012-09,Papakura,5.47
2012-09,Rodney,5.47
2012-09,Waitakere,5.47
2012-10,AucklandCity,5.4
2012-10,Franklin,5.4
2012-10,Manukau,5.4
2012-10,NorthShore,5.4
2012-10,Papakura,5.4
2012-10,Rodney,5.4
2012-10,Waitakere,5.4
2012-11,AucklandCity,5.42
2012-11,Franklin,5.42
2012-11,Manukau,5.42
2012-11,NorthShore,5.42
2012-11,Papakura,5.42
2012-11,Rodney,5.42
2012-11,Waitakere,5.42
2012-12,AucklandCity,5.51
2012-12,Franklin,5.51
2012-12,Manukau,5.51
2012-12,NorthShore,5.51
2012-12,Papakura,5.51
2012-12,Rodney,5.51
2012-12,Waitakere,5.51
2013-01,AucklandCity,5.53
2013-01,Franklin,5.53
2013-01,Manukau,5.53
2013-01,NorthShore,5.53
2013-01,Papakura,5.53
2013-01,Rodney,5.53
2013-01,Waitakere,5.53
2013-02,AucklandCity,5.52
2013-02,Franklin,5.52
2013-02,Manukau,5.52
2013-02,NorthShore,5.52
2013-02,Papakura,5.52
2013-02,Rodney,5.52
2013-02,Waitakere,5.52
2013-03,AucklandCity,5.52
2013-03,Franklin,5.52
2013-03,Manukau,5.52
2013-03,NorthShore,5.52
2013-03,Papakura,5.52
2013-03,Rodney,5.52
2013-03,Waitakere,5.52
2013-04,AucklandCity,5.49
2013-04,Franklin,5.49
2013-04,Manukau,5.49
2013-04,NorthShore,5.49
2013-04,Papakura,5.49
2013-04,Rodney,5.49
2013-04,Waitakere,5.49
2013-05,AucklandCity,5.47
2013-05,Franklin,5.47
2013-05,Manukau,5.47
2013-05,NorthShore,5.47
2013-05,Papakura,5.47
2013-05,Rodney,5.47
2013-05,Waitakere,5.47
2013-06,AucklandCity,5.54
2013-06,Franklin,5.54
2013-06,Manukau,5.54
2013-06,NorthShore,5.54
2013-06,Papakura,5.54
2013-06,Rodney,5.54
2013-06,Waitakere,5.54
2013-07,AucklandCity,5.65
2013-07,Franklin,5.65
2013-07,Manukau,5.65
2013-07,NorthShore,5.65
2013-07,Papakura,5.65
2013-07,Rodney,5.65
2013-07,Waitakere,5.65
2013-08,AucklandCity,5.76
2013-08,Franklin,5.76
2013-08,Manukau,5.76
2013-08,NorthShore,5.76
2013-08,Papakura,5.76
2013-08,Rodney,5.76
2013-08,Waitakere,5.76
2013-09,AucklandCity,5.82
2013-09,Franklin,5.82
2013-09,Manukau,5.82
2013-09,NorthShore,5.82
2013-09,Papakura,5.82
2013-09,Rodney,5.82
2013-09,Waitakere,5.82
2013-10,AucklandCity,5.83
2013-10,Franklin,5.83
2013-10,Manukau,5.83
2013-10,NorthShore,5.83
2013-10,Papakura,5.83
2013-10,Rodney,5.83
2013-10,Waitakere,5.83
2013-11,AucklandCity,5.85
2013-11,Franklin,5.85
2013-11,Manukau,5.85
2013-11,NorthShore,5.85
2013-11,Papakura,5.85
2013-11,Rodney,5.85
2013-11,Waitakere,5.85
2013-12,AucklandCity,6.02
2013-12,Franklin,6.02
2013-12,Manukau,6.02
2013-12,NorthShore,6.02
2013-12,Papakura,6.02
2013-12,Rodney,6.02
2013-12,Waitakere,6.02
2014-01,AucklandCity,6.08
2014-01,Franklin,6.08
2014-01,Manukau,6.08
