,Median_Price,sales_count,sales_count_lag1,sales_count_lag3,sales_count_lag6,sales_count_lag9,sales_count_lag12,OCR,OCR_lag1,OCR_lag3,OCR_lag6,OCR_lag9,OCR_lag12,CGPI_Dwelling,CGPI_Dwelling_lag1,CGPI_Dwelling_lag3,CGPI_Dwelling_lag6,CGPI_Dwelling_lag9,CGPI_Dwelling_lag12,Consents,Consents_lag1,Consents_lag3,Consents_lag6,Consents_lag9,Consents_lag12,Net_migration_monthly,weeklyrent,unemployment_rate,unemployment_rate_lag1,unemployment_rate_lag3,unemployment_rate_lag6,unemployment_rate_lag9,unemployment_rate_lag12,RealMortgageRate,RealMortgageRate_lag1,RealMortgageRate_lag3,RealMortgageRate_lag6,RealMortgageRate_lag9,RealMortgageRate_lag12
Consents_lag1,0.49212454768127406,0.6456224896389571,0.7091405760454458,0.6487853073524634,0.6878300871187081,0.7288531266515388,0.7217445107682646,-0.030814162975708218,-0.04624717989025056,-0.08867500166213771,-0.12756777952761164,-0.16135802987718076,-0.20263154584648646,0.12115682487298234,0.11522045795102306,0.08957884341469231,0.04496221803753908,0.005777715517501808,-0.015188195756202946,0.742611622435799,1.0,0.7235062124767306,0.6876453631208592,0.6780721279452343,0.6545853370538411,-0.2668772586474769,0.22142932673625065,-0.048136637315342734,-0.030940493994529014,0.007469311026343973,0.06674965454150368,0.11607725071076994,0.16185378976962772,-0.24677247872781313,-0.2481861295330015,-0.22789034306031802,-0.16888594260877446,-0.12287818538274646,-0.06597147509119754
Consents_lag3,0.4993164701590637,0.6466586645565933,0.6354911636645767,0.7067335109955284,0.6780558000440912,0.6806195133871521,0.7489686974317324,0.021828500356265778,0.010996031390695287,-0.028362860956433245,-0.0797437308840904,-0.12638542455395088,-0.16615564769767813,0.15417301261556862,0.1490328077650047,0.1384243960008052,0.09998290416547327,0.06237490186331944,0.03185390433691767,0.7137939692305098,0.7235062124767306,1.0,0.7108712774099202,0.7333569741688198,0.6763879763122559,-0.2515400617744522,0.24423342452574565,-0.09348675253107898,-0.07203943391863096,-0.03870914350745069,0.015375899742050121,0.06819740537977859,0.12057228041808461,-0.2382096395818177,-0.24233967243047683,-0.244301162307558,-0.2030833556226668,-0.1615211762339284,-0.11630645362022181
Consents_lag6,0.4824976883853013,0.5894401129564524,0.5834848455998514,0.6409941035502542,0.7035798105502747,0.6766760722939922,0.682578051576747,0.09445769913565344,0.08027425563532013,0.04398482692564134,-0.009839203720592793,-0.06585303454097037,-0.12066646111331351,0.19759581011165986,0.19315893539718537,0.18303558106603918,0.16879160891873357,0.13272436210962274,0.0976608578602013,0.7352128840938376,0.6876453631208592,0.7108712774099202,1.0,0.708621726009426,0.7367353165614773,-0.18533337802695693,0.2806601705546293,-0.15424338162253798,-0.13741555901901215,-0.10184518796941688,-0.04962373104519714,0.002702289297404601,0.054969525693647166,-0.21764769122416966,-0.22721400082829393,-0.24023907036700118,-0.2453735150216229,-0.2058002845973659,-0.1674997760570436
Consents_lag9,0.4507659721283003,0.5307774143470513,0.5504009860418979,0.5809917061331148,0.6330646222995824,0.6995331551247627,0.6768169214728725,0.1626675122718667,0.1509845818549214,0.1177736217859616,0.06556565229271301,0.0051898507171021695,-0.06190900967946871,0.23366641848960173,0.2312700742333132,0.22351996552022377,0.210657918836939,0.19891070486008453,0.16588209034023185,0.6710518032313375,0.6780721279452343,0.7333569741688198,0.708621726009426,1.0,0.7114495920828958,-0.12984482945530668,0.3018667937096601,-0.20066016463817105,-0.18736797745990358,-0.16217078461136428,-0.11198259069168216,-0.06000543361653482,-0.00762640503467705,-0.17711748107616257,-0.1973044465495883,-0.22421097051626535,-0.24421617614402888,-0.24938994197616227,-0.21145724679950495
Consents_lag12,0.43740565519045205,0.5519278158964962,0.5283546032709652,0.5282391096459925,0.5743833758848426,0.6291852981653463,0.698900451774634,0.2267493452522119,0.21615398207844827,0.19517831139246317,0.1529165936350356,0.10019827664939458,0.022910608691200967,0.2647867735487786,0.2654138142353514,0.26314320481253356,0.2556180629520851,0.24619105951756662,0.23815614073854452,0.6949775451211079,0.6545853370538411,0.6763879763122559,0.7367353165614773,0.7114495920828958,1.0,-0.04390020171918725,0.2961879208678098,-0.23840460070606348,-0.23480034827715165,-0.21203057189399652,-0.17630183567996474,-0.1276132031347689,-0.07256372746164039,-0.08905633770141252,-0.12497452128386545,-0.18398357363272633,-0.23189030158002757,-0.24993189583016873,-0.2575997703729103
Net_migration_monthly,-0.21494151858301982,-0.1780574946719626,-0.22092707820339447,-0.3138808168066972,-0.402911551672827,-0.39787416454175656,-0.38532103966255715,0.29065738756379156,0.31846530573876225,0.37111813063091875,0.4232041891448727,0.4637804419781912,0.4370216881187852,0.028468607109766498,0.052969826846235316,0.10417108830664355,0.16887836570696235,0.2217869909902993,0.2631005327803541,-0.265718234533901,-0.2668772586474769,-0.2515400617744522,-0.18533337802695693,-0.12984482945530668,-0.04390020171918725,1.0,0.004233204098709685,-0.10584612503377895,-0.15175472302676854,-0.2357800019325055,-0.3366629010007083,-0.4094840112865653,-0.44638408465971846,0.41015479864715243,0.37645105500063303,0.29114528214121815,0.15204922550430247,0.018465363715282578,-0.10777969015513121
weeklyrent,0.660714076343416,0.03598121073507577,0.04546488949874606,0.07321247742261869,0.08003907918756765,0.08461872463290879,0.11130643460326306,0.5397397294889067,0.5162182536736104,0.4649870908425945,0.3613326968123756,0.2281561162386933,0.07406390259794626,0.792474540008359,0.7856899374256215,0.7711545977574465,0.7481162881550549,0.7208069928179764,0.6843845204953105,0.21045700420426586,0.22142932673625065,0.24423342452574565,0.2806601705546293,0.3018667937096601,0.2961879208678098,0.004233204098709685,1.0,-0.5073953503946355,-0.4980847659761358,-0.47262971042314894,-0.40829013685673365,-0.3131181958128444,-0.2130292233398178,-0.4619213159766478,-0.5018836507776495,-0.5794700384741961,-0.6661712883662694,-0.7041809907789827,-0.7066065140039269
unemployment_rate,-0.11346187531694774,0.27357773379905453,0.2722792210860203,0.24204725367160165,0.15101292243931635,0.025162524265544165,-0.11941923070283263,-0.7383062555619732,-0.7036647452318961,-0.6279940035465629,-0.497705106567036,-0.341086226332853,-0.12260503239332857,-0.7343820239391708,-0.7470445379355022,-0.7679498819075844,-0.7676182697878148,-0.7410190930340106,-0.6944165338326844,-0.02613647599367725,-0.048136637315342734,-0.09348675253107898,-0.15424338162253798,-0.20066016463817105,-0.23840460070606348,-0.10584612503377895,-0.5073953503946355,1.0,0.9871142193974035,0.9050274229977524,0.6884309480956926,0.4051701918762331,0.12981604024205023,0.2542590001584721,0.36176348255191687,0.564288557270345,0.7678893879091993,0.8353802612003386,0.8157571194620425
unemployment_rate_lag1,-0.06088250064459387,0.2690056403381873,0.27271419136987574,0.26386569910203034,0.1846411722125181,0.07090627517694574,-0.08084043281769118,-0.7778761590106079,-0.7463704708152623,-0.675280445567368,-0.5539560944761039,-0.4058806587984643,-0.19744113281272854,-0.7275374591094227,-0.7378887655980729,-0.7644335186420684,-0.7786420818593975,-0.762073136754559,-0.7252063654099408,-0.0060160976024204805,-0.030940493994529014,-0.07203943391863096,-0.13741555901901215,-0.18736797745990358,-0.23480034827715165,-0.15175472302676854,-0.4980847659761358,0.9871142193974035,1.0,0.9543605793259504,0.770979157913472,0.500524769329814,0.20885855699994768,0.15446349284758634,0.2673728383597845,0.48019894536480584,0.7221202109763212,0.8271248792110514,0.8290149291048173
unemployment_rate_lag3,0.049319955702241736,0.2549099760350081,0.2602610066511795,0.27648568503913273,0.24492284228658387,0.14638346062703017,0.00753535571161728,-0.8343348367968337,-0.8142801358710436,-0.7571380267810134,-0.6492932293538992,-0.5207083567007346,-0.330914088955739,-0.69673091053461,-0.712834113011004,-0.7382455114230584,-0.7789513863535993,-0.7862172637091446,-0.7667429459727503,0.034782986811211836,0.007469311026343973,-0.03870914350745069,-0.10184518796941688,-0.16217078461136428,-0.21203057189399652,-0.2357800019325055,-0.47262971042314894,0.9050274229977524,0.9543605793259504,1.0,0.9051365693040938,0.6834437424026248,0.38565809740226675,-0.04678318821370698,0.06957284856600507,0.29985614022830787,0.5938557815015906,0.7798537023122986,0.8378363361106809
unemployment_rate_lag6,0.18851861684357518,0.2226081147172947,0.23558211206439988,0.2582418495611361,0.28310653333525687,0.24227873226907434,0.12444284082073558,-0.8677338809136977,-0.8626049454563213,-0.8386235296464369,-0.7642420955118352,-0.6590321931302922,-0.5023973609673547,-0.6146731834653406,-0.6368208419088714,-0.6776961322283073,-0.72450925579154,-0.7732291470270629,-0.787775796463223,0.09184876551710654,0.06674965454150368,0.015375899742050121,-0.04962373104519714,-0.11198259069168216,-0.17630183567996474,-0.3366629010007083,-0.40829013685673365,0.6884309480956926,0.770979157913472,0.9051365693040938,1.0,0.9007444442723362,0.663677579912174,-0.327882940686781,-0.21836787686156972,0.01115063041755486,0.3405247216525451,0.6159926272475458,0.7900295578753813
